"Catalog","Catalog"
"Invalid review status ""%1"" (approved|pending|not_approved)","Invalid review status ""%1"" (approved|pending|not_approved)"
"Product Review Submitted","Product Review Submitted"
"Review %1 not found","Review %1 not found"
"Review Status Changed","Review Status Changed"
"review.set_status requires a review-triggered workflow: no review_id in the trigger context (this action reads the review from the trigger, not the product entity)","review.set_status requires a review-triggered workflow: no review_id in the trigger context (this action reads the review from the trigger, not the product entity)"
"Reviews: Approved Count","Reviews: Approved Count"
"Reviews: Approved Rating Percent","Reviews: Approved Rating Percent"
"Set Review Status","Set Review Status"
