"Create one","Create one"
"Create workflow","Create workflow"
"Renders a compact ""N active for Orders · View · Create workflow"" strip in the actions toolbar of the native admin grids (Orders, Customers, Products, Reviews, Invoices, Shipments, Credit Memos) so the workflow feature is discoverable where the entity lives. Disable to hide it everywhere; it is also hidden per-page for admins without the Workflows view permission.","Renders a compact ""N active for Orders · View · Create workflow"" strip in the actions toolbar of the native admin grids (Orders, Customers, Products, Reviews, Invoices, Shipments, Credit Memos) so the workflow feature is discoverable where the entity lives. Disable to hide it everywhere; it is also hidden per-page for admins without the Workflows view permission."
"Show Workflow Links on Entity Grids","Show Workflow Links on Entity Grids"
"View","View"
"Workflows: %1 active for %2","Workflows: %1 active for %2"
"Workflows: none yet for %1","Workflows: none yet for %1"
